UPC#12,UPC#11,KEHE#,CUST ITEM#,BRAND,ITEM DESC,SIZE,UOM,PACK,CASE PRICE,RETAIL PRICE,CAT1,CAT2,CAT3,CLASS DESC,DIV DESC,DEPARTMENT,ITEM STATUS,CASE LENGTH,CASE WIDTH,CASE HEIGHT,CASE WEIGHT
088702015614,08870201561,6264,,BONNE MAMAN,BONNE MAMAN PRESERVE APRCT,13.00,OZ,6,30.300,7.29,Natural Grocery,FRUIT SPREADS,FRUIT SPREAD SWEETEN,JAMS JELLIES PRESERVES,NATURAL GROCERY,100,ACTIVE,0000010,7.20,4.500,7.870
088702015652,08870201565,6265,,BONNE MAMAN,BONNE MAMAN PRESERVE RSPBRRY,13.00,OZ,6,30.300,7.29,Natural Grocery,FRUIT SPREADS,FRUIT SPREAD SWEETEN,JAMS JELLIES PRESERVES,NATURAL GROCERY,100,ACTIVE,0000010,7.20,4.500,7.870
088702029291,08870202929,6266,,BONNE MAMAN,BONNE MAMAN PRESERVE BLACKBERRY,13.00,OZ,6,30.300,7.29,Natural Grocery,FRUIT SPREADS,FRUIT SPREAD SWEETEN,JAMS JELLIES PRESERVES,NATURAL GROCERY,100,ACTIVE,0000010,7.20,4.000,7.870
088702015683,08870201568,6267,,BONNE MAMAN,BONNE MAMAN PRESERVE DAMSON PLUM,13.00,OZ,6,30.300,7.29,Natural Grocery,FRUIT SPREADS,FRUIT SPREAD SWEETEN,JAMS JELLIES PRESERVES,NATURAL GROCERY,100,ACTIVE,0000010,7.20,4.500,7.870
088702015669,08870201566,6268,,BONNE MAMAN,BONNE MAMAN PRESERVE WILD BLUBRRY,13.00,OZ,6,30.300,7.29,Natural Grocery,FRUIT SPREADS,FRUIT SPREAD SWEETEN,JAMS JELLIES PRESERVES,NATURAL GROCERY,100,ACTIVE,0000010,7.20,4.500,7.870
088702015621,08870201562,6269,,BONNE MAMAN,BONNE MAMAN PRESERVE PEACH,13.00,OZ,6,30.300,7.29,Natural Grocery,FRUIT SPREADS,FRUIT SPREAD SWEETEN,JAMS JELLIES PRESERVES,NATURAL GROCERY,100,ACTIVE,0000010,7.20,4.500,7.870
088702016758,08870201675,6270,,BONNE MAMAN,BONNE MAMAN PRESERVE 4FRUITS,13.00,OZ,6,30.300,7.29,Natural Grocery,FRUIT SPREADS,FRUIT SPREAD SWEETEN,JAMS JELLIES PRESERVES,NATURAL GROCERY,100,ACTIVE,0000010,7.20,4.000,7.870
088702015638,08870201563,6271,,BONNE MAMAN,BONNE MAMAN MARMALADE ORANGE,13.00,OZ,6,30.300,7.29,Natural Grocery,FRUIT SPREADS,FRUIT SPREAD SWEETEN,JAMS JELLIES PRESERVES,NATURAL GROCERY,100,ACTIVE,0000010,7.20,4.500,7.870
088702015744,08870201574,6272,,BONNE MAMAN,BONNE MAMAN JELLY BLACK CURRANT,13.00,OZ,6,30.300,7.29,Natural Grocery,FRUIT SPREADS,FRUIT SPREAD SWEETEN,JAMS JELLIES PRESERVES,NATURAL GROCERY,100,MANUFACTURER_TEMP_OUT,0000010,7.20,4.000,7.870
088702015720,08870201572,6273,,BONNE MAMAN,BONNE MAMAN JELLY RED CURRANT,13.00,OZ,6,30.300,7.29,Natural Grocery,FRUIT SPREADS,FRUIT SPREAD SWEETEN,JAMS JELLIES PRESERVES,NATURAL GROCERY,100,MANUFACTURER_TEMP_OUT,0000010,7.20,4.000,7.870
